title,brand,mpn,upc,product_type,primary_category,smart_home_ecosystem,brand_tier,condition,condition_score,price,wasPrice,discount_pct,savings_usd,has_discount,price_tier,log_price,price_per_channel,sold,available,sell_through_rate,demand_tier,revenue_proxy_usd,log_sold,log_revenue_proxy,sqrt_available,resolution_class,has_night_vision,has_color_night,has_wide_angle,has_solar_power,is_battery_powered,is_wired,has_wifi,has_poe,has_cellular_4g5g,has_pan_tilt_zoom,has_motion_detect,has_ai_detection,has_two_way_audio,has_voice_control,has_floodlight,has_local_storage,has_cloud_storage,is_doorbell_camera,is_outdoor,is_indoor,is_nvr_dvr_system,is_complete_system,is_refurb_product,channel_count,pack_quantity,tech_richness_score,commercial_value_score,seller,seller_city,seller_state,seller_country,ships_to_count,excluded_country_count,global_reach_score,is_us_only_shipping,days_since_update,listing_freshness_score
HD 1080P Mini Camera Portable Micro Cam Pocket Video Recorder Motion Detection,Unknown,,,Security Cameras,Security Cameras,Other/Generic,Generic/Unknown,New,5,20.99,,0.0,0.0,0,Budget (<$25),3.090588,,8.0,7.0,0.5333,Low Demand,167.92,2.197225,5.129425,2.6458,1080P,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,50.58,Seller_49,Hebron,Kentucky,United States,2,220,0.009,0,9.0,97.5
SANNCE 5in1 8CH 1080P Lite TVI DVR Video Recorder for CCTV Security System 1TB,Sannce,SU-DT81BD100-R,,DVR,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,95.39,105.99,10.0,10.6,1,Mid-Range ($75–$200),4.568402,11.92,91.0,10.0,0.901,Medium Demand,8680.49,4.521789,9.068948,3.1623,1080P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,1,68.56,Seller_50,Flanders,NJ,United States,162,60,0.7297,0,6.0,98.4
amazon ring indoor camera window mount (MOUNT ONLY),Unknown,,,Camera,Security Cameras,Ring (Amazon),Generic/Unknown,New,5,24.99,,0.0,0.0,0,Budget (<$25),3.257712,,35.0,10.0,0.7778,Medium Demand,874.65,3.583519,6.774966,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,56.43,Seller_51,Cramerton,NC,United States,168,11,0.9385,0,57.0,84.4
Ubiquiti UniFi Protect G4 Dome PoE Camera (UVC-G4-Dome),Ubiquiti Networks,UVC-G4-DOME,810010073013,Dome Camera,Security Cameras,Other/Generic,Other Brand,New,5,149.99,,0.0,0.0,0,Mid-Range ($75–$200),5.017214,,4.0,3.0,0.5714,Low Demand,599.96,1.609438,6.398528,1.7321,Unknown,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,52.71,Seller_52,Richardson,Texas,United States,1,27,0.0357,1,2.0,99.5
verint edgevr 200,Verint,,,Panoramic,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Used,2,150.0,,0.0,0.0,0,Mid-Range ($75–$200),5.01728,,,4.0,0.0,No Sales Data,0.0,0.0,0.0,2.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0.0,Seller_53,South Plainfield,NJ,United States,168,11,0.9385,0,,
ZOSI 8CH 4K 5MP/8MP POE Security Camera System NVR CCTV Audio AI Detect IR Night,Zosi,,,5Mp/8Mp Poe Camera System,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,339.99,,0.0,0.0,0,Premium ($200–$500),5.831853,42.5,26.0,10.0,0.7222,Medium Demand,8839.74,3.295837,9.087126,3.1623,4K,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,8.0,1,3,58.23,Seller_35,Walton,Kentucky,United States,1,20,0.0476,1,8.0,97.8
Faceplate for Ring Generation Gen 2 doorbell cover - pick a colour!,3Dprintni,,,Door Entry System,Accessories,Ring (Amazon),Other Brand,New,5,7.95,,0.0,0.0,0,Budget (<$25),2.191654,,39.0,10.0,0.7959,Medium Demand,310.05,3.688879,5.739954,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,31.84,Seller_54,Belfast,Antrim,United Kingdom,1,16,0.0588,1,,
Hiseeu 5MP 10CH NVR Wireless Wifi Security Camera System Kit For Home Outdoor,Hiseeu,,,Bullet Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,299.69,332.99,10.0,33.3,1,Premium ($200–$500),5.70608,29.97,15.0,10.0,0.6,Medium Demand,4495.35,2.772589,8.411021,3.1623,5MP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,10.0,1,2,56.76,Seller_55,Jersey City,New Jersey,United States,1,28,0.0345,1,3.0,99.2
ANNKE 12MP 8CH NVR 4K Audio POE Security Camera System Outdoor Color Night IP67,Annke,AU-N98PBK0-94DM,,Turret Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,274.99,499.99,45.0,225.0,1,Premium ($200–$500),5.620365,34.37,35.0,10.0,0.7778,Medium Demand,9624.65,3.583519,9.172187,3.1623,4K,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,8.0,1,3,73.8,Seller_14,Flanders,NJ,United States,161,61,0.7252,0,10.0,97.3
Mini DVR 5.8G-FPV Video Recorder Module CVBS Signal Input Support 32GB TF Card,Unknown,,,Video Recorder,Surveillance Dvrs & Nvrs,Other/Generic,Generic/Unknown,New,5,29.98,,0.0,0.0,0,Value ($25–$75),3.433342,,34.0,10.0,0.7727,Medium Demand,1019.32,3.555348,6.927872,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1,1,60.76,Seller_56,Guangzhou,China,United States,1,226,0.0044,1,2.0,99.5
Ring Spotlight Cam Plus / Battery Outdoor Camera Pack of 2 *New In Box*,Ring,B0B7QMF9T5,0840268930653,Camera,Uncategorized,Ring (Amazon),Premium Consumer,New,5,199.99,,0.0,0.0,0,Mid-Range ($75–$200),5.303255,,,,,No Sales Data,0.0,0.0,0.0,0.0,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,,1,0,0.0,Seller_57,Barnesville,Ohio,United States,1,11,0.0833,1,,
SANNCE 8CH 4K NVR 8MP Two Way Audio POE PT Security Camera System AI Detection,Sannce,N98PBD-91FT,,Bullet Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,119.99,,0.0,0.0,0,Mid-Range ($75–$200),4.795708,15.0,67.0,100.0,0.4012,Medium Demand,8039.33,4.219508,8.992225,10.0,4K,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,8.0,1,3,45.57,Seller_29,Flanders,NJ,United States,161,61,0.7252,0,6.0,98.4
eufy Indoor Cam C210 Home Security Camera 1080P 360° PTZ Night Vision |Refurbish,Eufy,AKT8419,194644293987,Camera,Security Cameras,Eufy (Anker),Premium Consumer,Certified Refurbished,3,24.99,29.99,16.67,5.0,1,Budget (<$25),3.257712,,2762.0,4.0,0.9986,Viral (Top 5%),69022.38,7.924072,11.142201,2.0,1080P,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,1,2,74.8,Seller_4,Ontario,CA,United States,162,24,0.871,0,2.0,99.5
Zmodo Wi-Fi Camera Power adapter Cord,Zmodo,,,Cable/Accessory,Accessories,Other/Generic,Other Brand,New,5,9.99,,0.0,0.0,0,Budget (<$25),2.396986,,952.0,10.0,0.9896,High Demand,9510.48,6.859615,9.160255,3.1623,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,61.21,Seller_58,Chicago,IL,United States,163,59,0.7342,0,102.0,72.1
4MP PoE IP Vandal Bullet Camera IR Mode Outdoor/Indoor Metal Housing 2.8mm,Unknown,,,Bullet Camera,Security Cameras,Other/Generic,Generic/Unknown,New,5,27.99,,0.0,0.0,0,Value ($25–$75),3.366951,,123.0,72.0,0.6308,Medium Demand,3442.77,4.820282,8.144322,8.4853,4MP,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,1,1,53.43,Seller_59,Arlington Heights,IL,United States,162,19,0.895,0,22.0,94.0
